execution_order,batch,barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
34,1,176205,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / EXTRA - LARGE,176205,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681955633,active,gid://shopify/InventoryItem/53904441770289,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
35,1,176206,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",2X - LARGE,176206,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495835441,active,gid://shopify/InventoryItem/54191304376625,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
36,1,176206,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / 2X - LARGE,176206,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681988401,active,gid://shopify/InventoryItem/53904441803057,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
37,1,176207,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",3X - LARGE,176207,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495868209,active,gid://shopify/InventoryItem/54191304409393,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
38,1,176207,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / 3X - LARGE,176207,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832682021169,active,gid://shopify/InventoryItem/53904441835825,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
39,1,178802,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-SMALL,178802,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743566641,active,gid://shopify/InventoryItem/54125142802737,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
40,1,178802,2,MOCK NECK TEE IN OLIVE,EXTRA - SMALL,178802,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568422193,active,gid://shopify/InventoryItem/50004182335793,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
41,1,178803,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",SMALL,178803,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743599409,active,gid://shopify/InventoryItem/54125142835505,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
42,1,178803,2,MOCK NECK TEE IN OLIVE,SMALL,178803,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568454961,active,gid://shopify/InventoryItem/50004182368561,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
43,1,178804,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",MEDIUM,178804,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743632177,active,gid://shopify/InventoryItem/54125142868273,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
44,1,178804,2,MOCK NECK TEE IN OLIVE,MEDIUM,178804,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568487729,active,gid://shopify/InventoryItem/50004182401329,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
45,1,178805,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",LARGE,178805,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743664945,active,gid://shopify/InventoryItem/54125142901041,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
46,1,178805,2,MOCK NECK TEE IN OLIVE,LARGE,178805,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568520497,active,gid://shopify/InventoryItem/50004182434097,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
47,1,178806,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-LARGE,178806,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743697713,active,gid://shopify/InventoryItem/54125142933809,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
48,1,178806,2,MOCK NECK TEE IN OLIVE,EXTRA - LARGE,178806,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568553265,active,gid://shopify/InventoryItem/50004182466865,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
49,1,178807,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",2X-LARGE,178807,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743730481,active,gid://shopify/InventoryItem/54125142966577,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
50,1,178807,2,MOCK NECK TEE IN OLIVE,2X - LARGE,178807,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568586033,active,gid://shopify/InventoryItem/50004182499633,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
