execution_order,batch,barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
34,1,176205,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / EXTRA - LARGE,176205,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681955633,active,gid://shopify/InventoryItem/53904441770289,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
35,1,176206,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",2X - LARGE,176206,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495835441,active,gid://shopify/InventoryItem/54191304376625,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
36,1,176206,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / 2X - LARGE,176206,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832681988401,active,gid://shopify/InventoryItem/53904441803057,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
37,1,176207,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS IN NAVY",3X - LARGE,176207,gid://shopify/Product/10464848740657,gid://shopify/ProductVariant/52100495868209,active,gid://shopify/InventoryItem/54191304409393,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
38,1,176207,2,"""VINES AND THORNS"" OVERPOCKET PHAT PANTS",NAVY / 3X - LARGE,176207,gid://shopify/Product/10380877660465,gid://shopify/ProductVariant/51832682021169,active,gid://shopify/InventoryItem/53904441835825,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
39,1,178802,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-SMALL,178802,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743566641,active,gid://shopify/InventoryItem/54125142802737,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
40,1,178802,2,MOCK NECK TEE IN OLIVE,EXTRA - SMALL,178802,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568422193,active,gid://shopify/InventoryItem/50004182335793,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
41,1,178803,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",SMALL,178803,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743599409,active,gid://shopify/InventoryItem/54125142835505,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
42,1,178803,2,MOCK NECK TEE IN OLIVE,SMALL,178803,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568454961,active,gid://shopify/InventoryItem/50004182368561,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
43,1,178804,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",MEDIUM,178804,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743632177,active,gid://shopify/InventoryItem/54125142868273,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
44,1,178804,2,MOCK NECK TEE IN OLIVE,MEDIUM,178804,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568487729,active,gid://shopify/InventoryItem/50004182401329,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
45,1,178805,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",LARGE,178805,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743664945,active,gid://shopify/InventoryItem/54125142901041,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
46,1,178805,2,MOCK NECK TEE IN OLIVE,LARGE,178805,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568520497,active,gid://shopify/InventoryItem/50004182434097,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
47,1,178806,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",EXTRA-LARGE,178806,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743697713,active,gid://shopify/InventoryItem/54125142933809,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
48,1,178806,2,MOCK NECK TEE IN OLIVE,EXTRA - LARGE,178806,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568553265,active,gid://shopify/InventoryItem/50004182466865,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
49,1,178807,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",2X-LARGE,178807,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743730481,active,gid://shopify/InventoryItem/54125142966577,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
50,1,178807,2,MOCK NECK TEE IN OLIVE,2X - LARGE,178807,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568586033,active,gid://shopify/InventoryItem/50004182499633,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
51,2,178808,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",3X-LARGE,178808,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743763249,active,gid://shopify/InventoryItem/54125142999345,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
52,2,178808,2,MOCK NECK TEE IN OLIVE,3X - LARGE,178808,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47957568618801,active,gid://shopify/InventoryItem/50004182532401,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
53,2,178809,2,"""CROP CIRCLES"" MOCK NECK TEE IN OLIVE",4X-LARGE,178809,gid://shopify/Product/10449938645297,gid://shopify/ProductVariant/52034743796017,active,gid://shopify/InventoryItem/54125143032113,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
54,2,178809,2,MOCK NECK TEE IN OLIVE,4X - LARGE,178809,gid://shopify/Product/9256996831537,gid://shopify/ProductVariant/47961330745649,active,gid://shopify/InventoryItem/50007959535921,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
55,2,181202,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,1-2,181202,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205208369,active,gid://shopify/InventoryItem/54421719122225,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
56,2,181202,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 1-2,181202,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957126961,active,gid://shopify/InventoryItem/54017968701745,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
57,2,181203,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,3-4,181203,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205241137,active,gid://shopify/InventoryItem/54421719154993,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
58,2,181203,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 3-4,181203,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957159729,active,gid://shopify/InventoryItem/54017968734513,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
59,2,181204,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,5-6,181204,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205273905,active,gid://shopify/InventoryItem/54421719187761,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
60,2,181204,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 5-6,181204,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957192497,active,gid://shopify/InventoryItem/54017968767281,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
61,2,181205,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,7-8,181205,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205306673,active,gid://shopify/InventoryItem/54421719220529,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
62,2,181205,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 7-8,181205,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957225265,active,gid://shopify/InventoryItem/54017968800049,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
63,2,181206,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,9-10,181206,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205339441,active,gid://shopify/InventoryItem/54421719253297,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
64,2,181206,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 9-10,181206,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957258033,active,gid://shopify/InventoryItem/54017968832817,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
65,2,181207,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,11-12,181207,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205372209,active,gid://shopify/InventoryItem/54421719286065,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
66,2,181207,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 11-12,181207,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957290801,active,gid://shopify/InventoryItem/54017968865585,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
67,2,181208,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT IN OLIVE,13-14,181208,gid://shopify/Product/10515059376433,gid://shopify/ProductVariant/52327205404977,active,gid://shopify/InventoryItem/54421719318833,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
68,2,181208,2,LITTLE HUMAN™ 4 POCKET CUBAN SHIRT,OLIVE / 13-14,181208,gid://shopify/Product/10383548481841,gid://shopify/ProductVariant/51940957323569,active,gid://shopify/InventoryItem/54017968898353,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
69,2,193302,2,"""COLD NAVY"" CHORE JACKET",EXTRA - SMALL,193302,gid://shopify/Product/10547679166769,gid://shopify/ProductVariant/52456595128625,active,gid://shopify/InventoryItem/54553713344817,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
70,2,193302,2,"""COLD NAVY"" CHORE JACKET",SMALL,193302,gid://shopify/Product/10547679166769,gid://shopify/ProductVariant/52432963567921,active,gid://shopify/InventoryItem/54529641742641,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
71,2,193502,2,"""TRUE BLUE"" CHORE JACKET",EXTRA - SMALL,193502,gid://shopify/Product/10547678544177,gid://shopify/ProductVariant/52443775729969,active,gid://shopify/InventoryItem/54540593430833,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
72,2,193502,2,"""TRUE BLUE"" CHORE JACKET",SMALL,193502,gid://shopify/Product/10547678544177,gid://shopify/ProductVariant/52432960946481,active,gid://shopify/InventoryItem/54529639416113,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
73,2,322103,2,"""KAZE"" SHIRT (001) IN SEPIA",SMALL,322103,gid://shopify/Product/10543866806577,gid://shopify/ProductVariant/52420558356785,active,gid://shopify/InventoryItem/54516653916465,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
74,2,322103,2,HERMANOS IN NAVY/WHITE,MEDIUM,322103,gid://shopify/Product/10510629306673,gid://shopify/ProductVariant/52302182154545,active,gid://shopify/InventoryItem/54396536717617,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
75,2,322104,2,"""KAZE"" SHIRT (001) IN SEPIA",MEDIUM,322104,gid://shopify/Product/10543866806577,gid://shopify/ProductVariant/52420558389553,active,gid://shopify/InventoryItem/54516653949233,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
76,2,322104,2,HERMANOS IN NAVY/WHITE,LARGE,322104,gid://shopify/Product/10510629306673,gid://shopify/ProductVariant/52302182187313,active,gid://shopify/InventoryItem/54396536750385,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
77,2,322105,2,"""KAZE"" SHIRT (001) IN SEPIA",LARGE,322105,gid://shopify/Product/10543866806577,gid://shopify/ProductVariant/52420558422321,active,gid://shopify/InventoryItem/54516653982001,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
78,2,322105,2,HERMANOS IN NAVY/WHITE,EXTRA - LARGE,322105,gid://shopify/Product/10510629306673,gid://shopify/ProductVariant/52304180216113,active,gid://shopify/InventoryItem/54398539170097,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
79,2,322106,2,"""KAZE"" SHIRT (001) IN SEPIA",EXTRA - LARGE,322106,gid://shopify/Product/10543866806577,gid://shopify/ProductVariant/52420558455089,active,gid://shopify/InventoryItem/54516654014769,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
80,2,322106,2,HERMANOS IN NAVY/WHITE,2X - LARGE,322106,gid://shopify/Product/10510629306673,gid://shopify/ProductVariant/52302182220081,active,gid://shopify/InventoryItem/54396536783153,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
81,2,322107,2,"""KAZE"" SHIRT (001) IN SEPIA",2X - LARGE,322107,gid://shopify/Product/10543866806577,gid://shopify/ProductVariant/52420558487857,active,gid://shopify/InventoryItem/54516654047537,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
82,2,322107,2,HERMANOS IN NAVY/WHITE,3X - LARGE,322107,gid://shopify/Product/10510629306673,gid://shopify/ProductVariant/52304180248881,active,gid://shopify/InventoryItem/54398539202865,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
83,2,323104,2,"""SNUG"" SWEATSHIRT (001) IN MOSS",3X - LARGE,323104,gid://shopify/Product/10547608355121,gid://shopify/ProductVariant/52432636444977,active,gid://shopify/InventoryItem/54529304789297,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
84,2,323104,2,"""SNUG"" SWEATSHIRT (001) IN MOSS",LARGE,323104,gid://shopify/Product/10547608355121,gid://shopify/ProductVariant/52432636346673,active,gid://shopify/InventoryItem/54529304690993,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
85,2,536191,2,CLASSIC TEE IN WHITE,EXTRA - SMALL,536191,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736683843889,active,gid://shopify/InventoryItem/52806167855409,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
86,2,536191,2,CLASSIC TEE IN WHITE,EXTRA - SMALL,536191,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052075962673,active,gid://shopify/InventoryItem/48098702721329,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
87,2,536192,2,CLASSIC TEE IN WHITE,SMALL,536192,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736683876657,active,gid://shopify/InventoryItem/52806167888177,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
88,2,536192,2,CLASSIC TEE IN WHITE,SMALL,536192,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052075995441,active,gid://shopify/InventoryItem/48098702754097,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
89,2,536193,2,CLASSIC TEE IN WHITE,MEDIUM,536193,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736683909425,active,gid://shopify/InventoryItem/52806167920945,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
90,2,536193,2,CLASSIC TEE IN WHITE,MEDIUM,536193,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052076028209,active,gid://shopify/InventoryItem/48098702786865,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
91,2,536194,2,CLASSIC TEE IN WHITE,LARGE,536194,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736683942193,active,gid://shopify/InventoryItem/52806167953713,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
92,2,536194,2,CLASSIC TEE IN WHITE,LARGE,536194,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052076060977,active,gid://shopify/InventoryItem/48098702819633,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
93,2,536195,2,CLASSIC TEE IN WHITE,EXTRA - LARGE,536195,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736683974961,active,gid://shopify/InventoryItem/52806167986481,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
94,2,536195,2,CLASSIC TEE IN WHITE,EXTRA - LARGE,536195,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052076093745,active,gid://shopify/InventoryItem/48098702852401,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
95,2,536196,2,CLASSIC TEE IN WHITE,2X - LARGE,536196,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736684007729,active,gid://shopify/InventoryItem/52806168019249,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
96,2,536196,2,CLASSIC TEE IN WHITE,2X - LARGE,536196,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052076126513,active,gid://shopify/InventoryItem/48098702885169,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
97,2,536197,2,CLASSIC TEE IN WHITE,3X - LARGE,536197,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736684040497,active,gid://shopify/InventoryItem/52806168052017,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
98,2,536197,2,CLASSIC TEE IN WHITE,3X - LARGE,536197,gid://shopify/Product/8651667538225,gid://shopify/ProductVariant/46052076159281,active,gid://shopify/InventoryItem/48098702917937,keep barcode on this variant,high,Selected as temporary keeper; other active variants must be reassigned unique barcodes.
99,2,536198,2,CLASSIC TEE IN WHITE,4X - LARGE,536198,gid://shopify/Product/10189541867825,gid://shopify/ProductVariant/50736684073265,active,gid://shopify/InventoryItem/52806168084785,replace barcode on this variant,high,Active variant conflicts with another active/keeper barcode and must be unique.
